Seed & Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
Seed 1 / Epoch 0,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 100,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 200,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 300,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 400,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 500,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 600,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 700,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 800,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 900,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1000,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1100,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1200,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1300,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1400,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 1 / Epoch 1500,0.5,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
