Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
0,0.509926950931549,0.037507238984107974,-0.04555175770074128,-0.3267370849847794,0.0974417254328728,0.0,0.0,-0.1974208477884531,-0.5676271587610244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00500928182154893,0.018958143971394753,0.053283884190022945
100,0.227363745868206,-0.002934634685516346,-0.09084170460700988,-0.4618841946125031,-0.109606721997261,0.06713817883282899,0.021468807989731414,-0.1546375676989555,-0.703924922645092,0.4614516794681549,0.0072110504843294395,0.013655021938029671,0.01600512303411957,0.00945090802852064,-0.0006067227572202799,-0.008284761128015811,-0.005353128106799,0.012505826586857421,0.00070064077153801,0.3397948622703552,0.5273293409962208,0.5136680949479342,0.43736785065193545
200,0.1736377028748393,-0.06824258565902712,-0.22593980133533478,-0.6161422953009605,-0.16788021624088287,0.07521886641625315,0.0769457569345832,-0.11247791135683656,-0.841614407300949,0.4522436261177063,0.006259551248513169,0.011629416607320291,0.01285927698481824,0.0044050235068425585,-0.00020033656619491275,-0.0035367198986932793,-0.002404892607592049,0.01608201982453463,7.434436120091975e-05,0.2582091726362705,0.6231422018725425,0.604802566464059,0.3591888723216471
300,0.14014280229457654,-0.11667989492416382,-0.31757970452308654,-0.7310113988816739,-0.20973674058914185,0.04962800093926489,0.10550968870520591,-0.08327058851718902,-1.005058468878269,0.4578411869704723,0.00327858994714915,0.00701175655703992,0.01087073273956774,0.00391086898162029,0.005087071098387241,-0.00226807896979151,-0.00396923581138253,0.015528040798380929,-0.0007624238263815701,0.1813751060515642,0.6840586405945942,0.6875250915414653,0.2856879884835507
400,0.11835548475610265,-0.13510240614414215,-0.3710643291473389,-0.8351309210062027,-0.23994457721710205,-0.00995918270200491,0.1223398931324482,-0.03705576211214061,-1.147066307067871,0.46722699627280234,0.0004615016514435305,0.00390042870421892,0.009855548900668488,0.0020079201349290005,0.006098058016505101,-0.0013323181832674634,-0.004867333953734501,0.013028760056477021,-0.0012789336964487898,0.1371676715090871,0.7235262840811629,0.7414448357245419,0.2325287675335403
500,0.09939553865206105,-0.12483713030815129,-0.40109447240829466,-0.9260806709527969,-0.25183844566345215,-0.06396867409348488,0.1382824018597603,0.008628788590431213,-1.2686839163303376,0.4883793566375971,-0.0024505918321665304,0.0025175304312142497,0.008287153726269019,0.0006715466442983699,0.004524410102749241,-0.0020656401524320103,-0.004133225884288561,0.011382024857448391,-0.00312333551701157,0.10916513190604746,0.7591371320158942,0.7788905038381927,0.1862469010303812
600,0.0819644898836827,-0.09277194738388062,-0.42619850039482116,-1.0017532885074616,-0.26048256158828736,-0.09913159497082227,0.16255834251642226,0.043501025438308714,-1.3708484530448914,0.5268950220197439,-0.00331288077286444,0.0024307157407747497,0.006923477537202419,0.0012237432281835903,0.0026003129605669502,-0.002497950913675595,-0.002808831858419585,0.008722818559908741,-0.00404733083560132,0.08309050204697996,0.8024769282754278,0.8056326598802116,0.1414424751531669
700,0.07116541283693105,-0.06846545934677124,-0.445885157585144,-1.0627160489559173,-0.27237572073936467,-0.11842166315764184,0.18148825913667682,0.06543405652046201,-1.4383508682250976,0.5601356699364259,-0.0014605687472794635,0.001461006030149278,0.0052070528399780994,0.0008611846700659787,0.001423197999247356,-0.0010724735635448978,-0.0016646890728225182,0.004829336600414515,-0.002437682958407101,0.05417656313802579,0.8407792018901091,0.8239623668545392,0.11017834491431129
800,0.06620384270863663,-0.06095117926597591,-0.45700382590293886,-1.1065463423728943,-0.27572166323661806,-0.13015327230095863,0.1839371830224991,0.07835240364074707,-1.4713043212890624,0.5763916537165642,-0.0002473234177159695,0.0008705166706931657,0.003670845217493447,-0.00011886740358023824,0.0010135531530068135,0.00041424104892939605,-0.0010145185603505364,0.002082426312153953,-0.0009800632909900708,0.034034592141688316,0.8615456525294576,0.8362086532375542,0.09243052566099548
900,0.06339555889642212,-0.060921978950500576,-0.46438221335411073,-1.137657254934311,-0.27171982526779176,-0.13960400000214576,0.1762012466788292,0.08721906840801237,-1.484755277633667,0.5824828436598182,0.00016014629350138084,0.0006297813999481204,0.0026244336123454432,-0.0006012802064106204,0.0008994352601348619,0.0010094533170104223,-0.0008163242500131594,0.0007984022023265116,-0.0003508257379507987,0.0235273453648915,0.8718093162795413,0.8439922985562589,0.08175576828054996
