Seed & Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
Seed 1 / Epoch 0,0.655360996723175,-0.4678700864315033,-0.030095377936959267,-0.9424180388450623,0.36496081948280334,0.0,0.0,0.6087149977684021,-0.06132069230079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03972931206226349,-0.21703043580055237,-0.24340087175369263
Seed 1 / Epoch 100,0.25205397605895996,-0.264179527759552,0.0025189488660544157,-0.9085198640823364,0.3085111081600189,0.23408101499080658,0.053266867995262146,0.5135612487792969,-0.09231573343276978,0.4806862771511078,-0.006994530558586121,0.007246725261211395,-0.0033224178478121758,0.0018229661509394646,-0.0010842308402061462,-0.006372729316353798,0.0031959263142198324,-0.006562177557498217,-0.001784786581993103,0.5325559377670288,0.513866126537323,0.4847553074359894,0.47201359272003174
Seed 1 / Epoch 200,0.2506752610206604,-0.20197322964668274,-0.05440869182348251,-0.8858759999275208,0.29917076230049133,0.25068438053131104,0.09792562574148178,0.48980969190597534,-0.039546556770801544,0.4866867959499359,-0.005466863512992859,0.004541374742984772,-0.0013853884302079678,0.00037485454231500626,-0.0020378828048706055,-0.0028040995821356773,0.0017292867414653301,-0.004354911390691996,0.00015872716903686523,0.539207935333252,0.5129263401031494,0.4903128743171692,0.46360987424850464
Seed 1 / Epoch 300,0.2500441074371338,-0.1540832668542862,-0.09293878823518753,-0.8790566921234131,0.2976386249065399,0.2725149691104889,0.11186192184686661,0.476733922958374,-0.001087395241484046,0.48223039507865906,-0.004195280373096466,0.0033347532153129578,-4.892383003607392e-05,8.946051821112633e-06,-0.0022558793425559998,-0.00010146474232897162,0.0009720587404444814,-0.0034910656977444887,0.0005879700183868408,0.5433163046836853,0.5127845406532288,0.49232324957847595,0.458114892244339
Seed 1 / Epoch 400,0.24961665272712708,-0.1164863333106041,-0.1233643889427185,-0.8843280076980591,0.2988611161708832,0.2949356734752655,0.1008090078830719,0.46947431564331055,0.032497771084308624,0.47672680020332336,-0.003422267735004425,0.0028455331921577454,0.0010752025991678238,-0.00029586534947156906,-0.002201266586780548,0.0022648279555141926,0.0005060462281107903,-0.0033217796590179205,0.00045393407344818115,0.5472978353500366,0.5144737362861633,0.49175402522087097,0.4526388645172119
Seed 1 / Epoch 500,0.24910952150821686,-0.0838487297296524,-0.15133161842823029,-0.9006555676460266,0.30542296171188354,0.3160838186740875,0.06617270410060883,0.4666665196418762,0.06711910665035248,0.4741387367248535,-0.0032013878226280212,0.0028145089745521545,0.0021953312680125237,-0.0011417940258979797,-0.002008289098739624,0.004680507816374302,3.866703627863899e-05,-0.0036896667443215847,2.397596836090088e-05,0.5520193576812744,0.5183766484260559,0.4890592098236084,0.44574791193008423
Seed 1 / Epoch 600,0.2481994330883026,-0.050404395908117294,-0.1809917539358139,-0.9291510581970215,0.3254360556602478,0.33449798822402954,0.005170002114027739,0.4696933925151825,0.10857612639665604,0.47733527421951294,-0.0036024004220962524,0.0031862780451774597,0.003560515120625496,-0.0030739055946469307,-0.0016375333070755005,0.007636072114109993,-0.000715360336471349,-0.004736675880849361,-0.000723227858543396,0.5575804710388184,0.5251314640045166,0.4841247797012329,0.4362045228481293
Seed 1 / Epoch 700,0.24611438810825348,-0.008608860895037651,-0.21693581342697144,-0.9744071960449219,0.3732914924621582,0.34747177362442017,-0.09141051024198532,0.4837542474269867,0.16623935103416443,0.4907464385032654,-0.004953518509864807,0.004110708832740784,0.005651755258440971,-0.006860729306936264,-0.0008599534630775452,0.011953461915254593,-0.0022938218899071217,-0.007076330948621035,-0.0020993202924728394,0.5629677176475525,0.5363324284553528,0.476022869348526,0.4218829870223999
Seed 1 / Epoch 800,0.24039143323898315,0.05501973628997803,-0.26644062995910645,-1.0479172468185425,0.47419947385787964,0.34770458936691284,-0.2423732876777649,0.5229089260101318,0.2594708204269409,0.524424135684967,-0.008180566132068634,0.005966007709503174,0.009388705715537071,-0.013989007100462914,0.0011374205350875854,0.01858946867287159,-0.006052502430975437,-0.012153289280831814,-0.004975348711013794,0.5633055567741394,0.5550008416175842,0.46335354447364807,0.3977925181388855
Seed 1 / Epoch 900,0.22310233116149902,0.16869373619556427,-0.34096479415893555,-1.1720387935638428,0.6730255484580994,0.31040534377098083,-0.4675113558769226,0.6226161122322083,0.42686644196510315,0.6017298698425293,-0.015433095395565033,0.009152382612228394,0.01587892882525921,-0.02673220820724964,0.007537230849266052,0.026002461090683937,-0.015032652765512466,-0.02221962995827198,-0.011223465204238892,0.5395627021789551,0.5841245651245117,0.4489336907863617,0.3530651330947876
