Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
0,0.7139797270298004,0.037507238984107974,-0.04555175770074128,-0.3267370849847794,0.0974417254328728,0.0,0.0,-0.1974208477884531,-0.5676271587610244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07329218937084077,0.07177439555525779,0.08681899234652518
100,0.2083103507757187,0.009054028056561947,-0.01550833687651903,-0.3892909292131662,-0.13503018468618394,-0.03000194393098356,-0.03009492713026703,-0.19957214891910552,-0.5511779811233282,0.1727324977517128,-0.00713890334591266,-0.0061272733844816695,0.003995949914678941,0.0109101257752627,-0.0016024855896830496,-0.00122458413243292,0.00113026634790001,0.0043003733502700895,0.007783550396561581,0.33685194328427315,0.5850196063518525,0.6184345692396164,0.5290428802371026
200,0.17760755345225335,0.05791979879140852,0.009281974285840978,-0.4139674685895443,-0.22945450246334076,-0.02225946746766567,0.008539608540013396,-0.22667911406606436,-0.6273570068180561,0.09283656473271548,-0.00331438607536255,-0.0011936858063563596,0.0004883491899818299,0.0072664021514356,-0.0008746881503611797,-0.0033820421202108097,0.0041126320604234715,0.007558246399275931,0.00844835769385094,0.28271141797304156,0.6078107446432114,0.6661469101905823,0.46872114539146426
300,0.15420277807861565,0.085950992628932,0.025997219234704973,-0.39504692703485494,-0.2758804261684418,-0.006760273268446315,0.01860344670712947,-0.2798010498285294,-0.703099968819879,0.0094818115234375,-0.0024113032966852,-0.0022099177353084006,-0.003569802880519987,0.0017125222599133517,-0.0021378985838964434,0.00122083314345219,0.00604621868114918,0.007845218075090091,0.00793181918561454,0.23819848634302615,0.6445840388536453,0.7020158499479294,0.4187234265729785
400,0.13499673348851499,0.113408150523901,0.04749344326555731,-0.36067442595958715,-0.26955395787954334,0.004246124625205993,-0.004817714076489216,-0.3423317611217499,-0.7783294968307019,-0.0571997467428446,-0.00343583123758433,-0.0016608543694019307,-0.00286243916489184,-0.0019081226550042598,0.0009109377861022899,0.0030249236617237102,0.00625935477437449,0.007040240481728663,0.00552938054315744,0.20832742769271134,0.6803264439105987,0.7319817274808884,0.36560561480000614
500,0.11780539611354465,0.1563274547457695,0.055933475494384786,-0.3438477382063866,-0.2447635978460312,-0.03903253749012947,-0.03895729705691338,-0.4122946858406067,-0.8456638589501381,-0.11629621610045433,-0.00438178153708577,-0.0012283751741051696,-0.00064502554014327,-0.00302493218332529,0.00762841664254664,0.0038117884541861513,0.008145300704200033,0.006689912639922102,0.007209478365257362,0.19771462446078658,0.7109676450490952,0.7555495858192444,0.3098693223670125
600,0.09829663755372162,0.175115779414773,0.10135582238435743,-0.33349466919898985,-0.2157395601272583,-0.12772773802280427,-0.08727084775455296,-0.48880930840969083,-0.9116231016814709,-0.19216765463352206,-0.0005601727403700202,-0.00622520530596374,-0.00146806857082993,-0.0028110045939684007,0.00922613730654118,0.005899502977263159,0.0072449797677109,0.00565823404904222,0.0075213639996945915,0.19047393314540387,0.7406893789768219,0.7914721548557282,0.24094145838171244
700,0.08557618814520532,0.19518043864518403,0.14645847976207732,-0.3224343076348305,-0.1868208587169647,-0.2028779774904251,-0.14465611353516578,-0.5454756051301957,-0.9478154808282853,-0.2536523684859276,-0.00272783609107135,-0.0029859547270461896,-0.0006703343824483498,-0.00273547910619527,0.00566303879022597,0.005012606724631019,0.0038981294186669103,0.00199872698285616,0.004494676366448401,0.17905393545515835,0.7667548298835755,0.8319301992654801,0.1910104664042592
800,0.08045772330369796,0.21999552547931675,0.1678362101316452,-0.32027968764305115,-0.1613258898258209,-0.2461466073989868,-0.18806617856025695,-0.5717981815338135,-0.959275770187378,-0.28480628728866575,-0.00226267927791922,-0.00145085123367607,0.00022440771572291998,-0.00251902318559588,0.0033481082180514704,0.0039265125116798895,0.0016157714060682303,0.00045487233437596023,0.0019958171062171397,0.17055806899443268,0.7885551184415818,0.854001161456108,0.1683889199979603
900,0.0768789603956975,0.2428571358323098,0.17708267271518707,-0.32711562961339946,-0.132946902513504,-0.27547767460346223,-0.2266968995332718,-0.5794294536113739,-0.9569920986890793,-0.29628815948963166,-0.0024597766110673403,-0.00045702271163462993,0.0011524648871272898,-0.0033145380788482705,0.00279569214908404,0.0038676037045661193,-9.226299002876333e-05,-0.0009546608169330401,0.00036680845078078996,0.1638640307355672,0.8031521588563919,0.866462042927742,0.15518827508203686
1000,0.07082994061056522,0.2725694119930267,0.17693088948726649,-0.3437705740332604,-0.09259698987007141,-0.3081952124834061,-0.2638780474662781,-0.5679296791553498,-0.9388633370399475,-0.2908276244997978,-0.003600458335131381,0.0005783073371276403,0.0021624140325002296,-0.004734263790305699,0.0040105460677295705,0.00334236244671047,-0.00227621203521266,-0.0026450194796780106,-0.0016393683385104302,0.15046793124638497,0.8143022775650024,0.8769870370626449,0.1423919851426035
1100,0.0604245265014469,0.3114259421825409,0.16159789860248566,-0.36728208959102626,-0.046071100234985375,-0.35105006843805314,-0.2882565796375275,-0.5399445533752442,-0.9103524446487427,-0.26114681661128997,-0.0036920359823852493,0.0021862235851585997,0.0021247898810543096,-0.00385883400449528,0.0038152192020788496,0.0015639652148820304,-0.0025377038982696896,-0.0024412153259618197,-0.00368591577280315,0.12484602325130253,0.8272037118673324,0.8979572296142578,0.12586756893433632
1200,0.05500680665136311,0.3400945901870728,0.1447403460741043,-0.38189323097467415,-0.01973248124122624,-0.3790006548166275,-0.29930576384067537,-0.5236624836921692,-0.8949995994567871,-0.2317183122038841,-0.0020892714150249803,0.0010980218998156497,0.00092682066606357,-0.0016993859026115498,0.0019935946213081395,0.0008100600447505698,-0.00090696519182528,-0.0008156637428328499,-0.00210772575810553,0.11140279793180526,0.8415971219539642,0.9189127683639526,0.11526150261051951
1300,0.05340385182644235,0.356072735786438,0.1376447200775147,-0.3883610561490059,-0.0075022399425506816,-0.3947083085775375,-0.3059935480356216,-0.5182143926620484,-0.8905205011367798,-0.2164006397128105,-0.00123798316344617,0.00043245619744995006,0.00045258844038471006,-0.0008908094721846299,0.00127005677204577,0.00056563372490927,-0.00030216682353057,-0.00019901892810596025,-0.0011067388346418798,0.10726037896238265,0.8499624192714691,0.9300405502319335,0.11146568027324974
1400,0.05270303197903555,0.36630819439888,0.13483667373657232,-0.3918350711464882,-0.00045315027236936256,-0.40562970042228697,-0.31098757684230804,-0.5163964629173279,-0.8897875905036926,-0.20783463269472122,-0.0008569239114876601,0.00016950070275925996,0.00026919448864646004,-0.0005633914843201501,0.00095243113464674,0.00044504189863801,-9.678599017204995e-05,1.6101729124780003e-05,-0.0006655656266957701,0.1054914959007874,0.8551101177930832,0.9367986440658569,0.10955290799029169
1500,0.05228955562342885,0.3737486481666565,0.1338047355413437,-0.3940407559275627,0.004251343011856035,-0.41417619585990906,-0.31502582132816315,-0.5158951878547668,-0.8904411911964416,-0.20241839438676834,-0.00065143126994369,5.247700610199013e-05,0.00018238457269037001,-0.00039502793806604,0.0007729288423433701,0.00036812632170039005,-1.6072564176299954e-05,0.00010143119725398003,-0.00044230329804125,0.1044806202407926,0.8587164342403412,0.9415710091590881,0.10831976323388515
1600,0.05200420379405836,0.3795755207538605,0.13360445499420165,-0.3956022024154663,0.007653063535690308,-0.4212750673294067,-0.3184143990278244,-0.5159297943115234,-0.8916576862335205,-0.1986987978219986,-0.00052426800248212,-5.546171450969926e-06,0.00013469366822392,-0.00029383699002211,0.00065527583064974,0.00031282971613109,1.7829224816539952e-05,0.00013621213729493,-0.0003134054248221401,0.10380210464354603,0.8614524155855179,0.9452394664287567,0.10742365212645381
