Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
0,0.28568143099546434,0.037507238984107974,-0.04555175770074128,-0.3267370849847794,0.0974417254328728,0.0,0.0,-0.1974208477884531,-0.5676271587610244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42233139351010324,0.41971336118876934,0.4334803245961666,0.4325494058430195
100,0.25524520576000215,-0.00409171730279923,-0.07495213598012922,-0.36060989573597907,0.05799483209848404,-0.07393474107811923,-0.05618126955814658,-0.1322662707418203,-0.4958575673401356,0.14977741595357658,0.003172282729065015,0.002147451572818694,0.002196799602825176,0.003138341940939393,0.0051996480557135955,0.0032761696260422456,-0.00505651650310028,-0.005861809628549961,-0.01168430075049399,0.46919635236263274,0.4647627592086792,0.4802081763744354,0.47581636607646943
200,0.2504208415746689,-0.018490625917911528,-0.0809797465801239,-0.3714327221736312,0.035928504168987276,-0.09555596457503267,-0.06972825573757288,-0.10971733629703521,-0.47058240231126547,0.20353093817830087,0.0004883078334387407,-0.00026570055633783437,0.000521859056607354,0.0016804070168290892,0.0004754787485580676,0.0003435522303334223,-0.0007102941119228601,-0.0005426526764495042,-0.0015657439827918896,0.4906921863555908,0.4899260848760605,0.5035971611738205,0.5016302108764649
300,0.25010059475898744,-0.02128354012966156,-0.07656874898821117,-0.3759586283005774,0.020305156707763693,-0.09644927755580279,-0.07112818257883188,-0.1063631970435381,-0.4707215522415936,0.20904313009232284,0.00018317016365471684,-0.0005071852123364883,0.00045656925503862676,0.00151274601957989,-9.072229440790524e-05,6.13341369899032e-05,-0.00014961714296078058,0.00032366685336456,-4.4170767068840235e-05,0.4926975190639496,0.4941254198551178,0.5062333047389984,0.5056815922260285
400,0.24985458999872207,-0.02293078750371933,-0.07160503575578332,-0.38111009085550906,0.005140093341469756,-0.09520647051976991,-0.07185060442425308,-0.10534241292625665,-0.47527522444725034,0.20820190086960794,0.00015743797193861744,-0.00047496193074038394,0.0005808164962218108,0.0015303286025300461,-0.00013507184557965315,9.576389420544531e-05,-7.759661602905243e-05,0.0005557443430007095,0.00014795735478401,0.4921473562717438,0.49551154375076295,0.5062828242778779,0.5068727463483811
500,0.2496112808585167,-0.024503570795059215,-0.06714755017310381,-0.387658619787544,-0.010418077558279037,-0.09391651704208923,-0.07313071973621843,-0.10463832532986998,-0.4816206358373165,0.20658230362460017,0.00015764245545142356,-0.0004165541933616535,0.0007288524706382183,0.00158432555035685,-0.00012060363515046241,0.00015974934212863498,-6.611774515479589e-05,0.0007078696537064548,0.000167116522789,0.4912029832601547,0.49647888243198396,0.506049782037735,0.5077039927244187
600,0.24936030209064483,-0.02607863545417786,-0.06327441583853215,-0.39572142995893955,-0.026608666777610757,-0.09281127661233764,-0.07502930806949733,-0.10400153324007988,-0.48941588094457983,0.20493197068572044,0.00015682900411775018,-0.00035927840363001503,0.0008829523387248624,0.001655425555509251,-0.00010066428076243373,0.00021761181051261217,-6.147411404530796e-05,0.0008493853179970884,0.00016164556145667995,0.4901402175426483,0.4973491370677948,0.5058347463607789,0.508490863442421
700,0.24909316301345824,-0.027628022432327277,-0.05995290090795606,-0.4053482308983803,-0.04357489198446272,-0.09189972012536599,-0.0774457507883198,-0.10340994894504547,-0.4986244723200798,0.2033645696938038,0.000152519901166654,-0.0003063284588279102,0.0010415490112790841,0.0017387423256877456,-8.223194454331907e-05,0.00026282488397554965,-5.678479355995201e-05,0.0009913153946399804,0.00015149451792240606,0.48899051249027253,0.4981793135404587,0.5056832879781723,0.5092748671770095
800,0.24880216270685196,-0.02911779433488849,-0.05713730577845124,-0.41658173594623804,-0.06142070293426514,-0.09115920586045827,-0.08023602915927766,-0.10286752954125404,-0.5092680687084794,0.20191205888986588,0.0001450216455850611,-0.00025806292251218826,0.0012040807385346728,0.0018306009747902734,-6.652674346697369e-05,0.0002919869861216107,-5.173513818589765e-05,0.0011366607272066333,0.00013864114880561096,0.4877511471509933,0.49898676872253417,0.5056060224771499,0.5100584119558335
900,0.24848052859306335,-0.03051888197660446,-0.05478046936914325,-0.42945404835045337,-0.08021126985549927,-0.09056001175194976,-0.08322255695238708,-0.10237469617277384,-0.521388225024566,0.20060507133603095,0.00013490961864588631,-0.0002145267353625885,0.0013688811719475662,0.001926918844401361,-5.398974171840604e-05,0.0003016813199792584,-4.7013072298818955e-05,0.0012867072058725213,0.00012222193181514994,0.4864149659872055,0.49978004693984984,0.5056086242198944,0.5108370155096054
1000,0.24812267869710922,-0.031807984411716464,-0.052835195977240776,-0.4439734399318695,-0.0999686524271965,-0.09006907881703223,-0.0861930893734097,-0.10192399024963376,-0.5350339555181562,0.19948593080043792,0.000122761807870125,-0.00017568737675901206,0.0015329131550970193,0.0020232136135745994,-4.487012338359221e-05,0.00028848384499724846,-4.341089188531265e-05,0.0014417025224247586,0.00010090693831444112,0.4849748909473419,0.500563895702362,0.5056961983442306,0.5116053998470307
1100,0.24772452414035798,-0.032967893034219736,-0.05125525463372469,-0.4601122781634331,-0.12067036926746369,-0.0896519086556509,-0.08890419579111035,-0.10150096416473389,-0.5502518552588299,0.1986094105988741,0.00010920012427959047,-0.00014138555561657605,0.0016921331236516937,0.002115140879322986,-3.9244195795630095e-05,0.0002497034500265738,-4.1550780406414323e-05,0.0016008597289328495,7.360465824602807e-05,0.48342483937740327,0.5013413757085801,0.5058737218379974,0.5123604655265808
1200,0.24728358536958694,-0.033988241106271744,-0.0499968035146594,-0.4778010606765747,-0.1422538459300995,-0.0892736572306603,-0.09109268579632043,-0.10108631281182168,-0.5670752005884424,0.1980384334921837,9.491937671554875e-05,-0.00011125088785775483,0.0018422951212414742,0.002199178625596664,-3.6963331513119966e-05,0.00018421674540150624,-4.1722938658512074e-05,0.0017623881351028054,3.984645009040958e-05,0.48175953030586244,0.5021156340837478,0.5061459869146347,0.5131035387516022
1300,0.24679889678955078,-0.034865036606788635,-0.04902121070772407,-0.4969305105507374,-0.16462827026844024,-0.08890282979700712,-0.09249491908121853,-0.10065983752720058,-0.5855149143142626,0.1978367179632187,8.069889518082587e-05,-8.465310675091172e-05,0.001979896740885996,0.0022732018525857445,-3.7647799035774605e-05,9.307803666161838e-05,-4.38370854681344e-05,0.0019236869200540275,-6.631016730635538e-08,0.4799739420413971,0.5028914213180542,0.5065171360969544,0.5138412952423096
1400,0.246270489692688,-0.03560364916920662,-0.048297381401062,-0.5173629872500897,-0.1876893430948257,-0.08851249748840927,-0.09286919898586346,-0.10020412679295987,-0.6055539544409839,0.1980613149702549,6.736274353895733e-05,-6.0722233138217294e-05,0.0021028350248115924,0.002336629651244924,-4.073200780114028e-05,-2.043924821463687e-05,-4.745390615427474e-05,0.0020817398028157175,-4.51482832431873e-05,0.4780625581741333,0.5036759227514267,0.506990584731102,0.5145849019289017
1500,0.2456988587975502,-0.036216797679662724,-0.047803746163845064,-0.5389478862285614,-0.21133349537849427,-0.08808197542093692,-0.09201590067241341,-0.09970766669139267,-0.6271443231904413,0.19875687472522258,5.57299310457792e-05,-3.8431715074690756e-05,0.0022105426856796457,0.002390108723648147,-4.556618368951677e-05,-0.00015132385542527556,-5.190573283472419e-05,0.002233516830892768,-9.396262466907655e-05,0.4760192632675171,0.5044787108898163,0.5075687795877457,0.5153478950262069
1600,0.245084547996521,-0.03672525584697723,-0.04752891808748245,-0.5615352187305689,-0.23546764105558396,-0.08759675624314693,-0.08979109644424169,-0.09916532337665558,-0.6502091325586662,0.1999528653919697,4.6528625534832604e-05,-1.673709193711135e-05,0.0023036506707285196,0.0024349362585780895,-5.156503757462017e-05,-0.00029358714018597713,-5.6435266014921466e-05,0.002376310100953553,-0.00014496110379696298,0.4738376051187515,0.5053107649087906,0.5082533866167068,0.516143524646759
1700,0.2444281667470932,-0.037156743556261064,-0.047472282126545876,-0.5849852027371526,-0.2600122675299644,-0.08704784386791284,-0.08611268652603028,-0.09858053922653198,-0.6746466203592718,0.20166386067867278,4.039161867694707e-05,5.356868496155746e-06,0.0023834496150811784,0.0024724993400013664,-5.823139072163172e-05,-0.00044095725570511134,-6.033469326213995e-05,0.002507832567789591,-0.00019672550261021744,0.47151159346103666,0.506183210015297,0.5090450376272202,0.5169826179742814
1800,0.24373039603233337,-0.03754452839493751,-0.04764246419072148,-0.6091720000375063,-0.2849005922675133,-0.08643037874717266,-0.08096036300994455,-0.09796268930658698,-0.7003346025710926,0.20389099717140197,3.7817821430489465e-05,2.8712782659589165e-05,0.002451381329228724,0.0025038819341716527,-6.52212940622042e-05,-0.0005874150181625385,-6.296176070464e-05,0.00262625223381292,-0.0002479929476976404,0.46903710067272186,0.5071063309907913,0.5099435746669769,0.5178723424673081
1900,0.24299232661724085,-0.03792627528309821,-0.04805565029382704,-0.6339835620834492,-0.310074245929718,-0.08574239094741642,-0.07437132163904606,-0.09732732949778437,-0.7271344000939279,0.2066234216094017,3.9184985507736123e-05,5.4035409993952024e-05,0.002508685523207511,0.0025296906213043016,-7.230948394862788e-05,-0.0007275147043401068,-6.375586381185e-05,0.0027301282050757386,-0.0002976402640342585,0.46641315817832946,0.5080884963274002,0.5109479010105134,0.5188154220581055
2000,0.24221578389406204,-0.038342662155628204,-0.04873422905802727,-0.6593184416182339,-0.3354785889387131,-0.08498359960503873,-0.06643350217491387,-0.09669533963315188,-0.75489473012276,0.2098398819565773,4.47517420980035e-05,8.186523809855243e-05,0.0025562434493622095,0.002550044351664811,-7.935786816234387e-05,-0.0008565768999687449,-6.224139797270998e-05,0.002818331524031246,-0.00034464634954930323,0.46364312767982485,0.5091355800628662,0.5120556712150574,0.5198100358247757
2100,0.24140339642763137,-0.03883652426302432,-0.04970542732626197,-0.6850818511098623,-0.36105786114931104,-0.08415490570478139,-0.05727707007899879,-0.09609202822030057,-0.7834542436990887,0.21350861638784407,5.464790572204199e-05,0.00011255997276294525,0.0025945452180167064,0.0025646590358519303,-8.62865997533109e-05,-0.0009708383287943129,-5.797820922458e-05,0.002890057356489716,-0.00038796849548815694,0.4607355684041977,0.5102503687143326,0.5132630407810211,0.5208496779203415
2200,0.24055880606174468,-0.03945126179605722,-0.05099878199398518,-0.7111823671497405,-0.3867519810795784,-0.08325765903573482,-0.04706474049016833,-0.09554668264463542,-0.8126454303506762,0.21758779287338256,6.886976443639154e-05,0.00014629665456594943,0.002623756920365822,0.002572989602049334,-9.306196698164251e-05,-0.0010675722725863636,-5.059349277874749e-05,0.0029448284047248205,-0.0004266098141670062,0.45770456492900846,0.5114321351051331,0.5145642131567001,0.5219234168529511
2300,0.23968645632266994,-0.040229479921981684,-0.0526449647732079,-0.7375291897915304,-0.4124949350953102,-0.08229352575726805,-0.0359807876870036,-0.09509230265393853,-0.842298346105963,0.22202560268342494,8.728036118555009e-05,0.00018307377322343665,0.0026438341767061257,0.0025743766687810242,-9.966767174774463e-05,-0.0011451804864918438,-3.979984685433002e-05,0.002982568746165264,-0.0004596304148435506,0.4545692682266235,0.512676614522934,0.5159512430429458,0.5230162501335144
2400,0.23879142999649047,-0.04121194463223219,-0.054673646669834854,-0.7640300188446417,-0.43821376115083693,-0.08126414613798258,-0.024219619389623394,-0.09476405307650562,-0.8722442108206451,0.22676150500774384,0.00010961735242745003,0.00022272713249548202,0.002654656322556528,0.0025681954022729533,-0.0001061123373801855,-0.00120323522569374,-2.5367888156350083e-05,0.0030036565465707114,-0.00048618130385873345,0.45135352313518523,0.5139760702848435,0.5174141138792038,0.5241099387407303
2500,0.23787905126810074,-0.04243613425642252,-0.05711214058101177,-0.7905919447424822,-0.4638307228684425,-0.08017092661466445,-0.011974235204979766,-0.09459912292659282,-0.9023202162235975,0.23172752559185028,0.00013550795556511495,0.00026494238845771543,0.002656152643612561,0.0025539716982166173,-0.00011245017376496406,-0.0012424159780493505,-7.1652822953500225e-06,0.0030089772015344267,-0.0005056083202361977,0.44808419942855837,0.5153198152780533,0.5189409852027893,0.5251837641000747
2600,0.23695452511310572,-0.04393539819866418,-0.05998413045890634,-0.8171219413168729,-0.4892638027667999,-0.07901475455146283,0.0005741216242313385,-0.0946352407336235,-0.9323751918040216,0.23685048893094063,0.00016453815624117122,0.0003093302599154385,0.0026484123271074923,0.0025314915081253117,-0.00011872531904374051,-0.0012643402704270233,1.4809259300779982e-05,0.002999843459110687,-0.0005176026374101551,0.44478959441184995,0.516694712638855,0.5205186665058136,0.5262157678604126
2700,0.23602240532636642,-0.04573892466723919,-0.0633090958930552,-0.8435291020199657,-0.5144306272268295,-0.07779577174223959,0.013264225050806993,-0.09490998946130273,-0.9622729406692088,0.24205529689788818,0.00019628469308371278,0.0003554516268195498,0.0026317422190913708,0.0025008296535815933,-0.00012501542805694495,-0.0012713457370409444,4.051379146399999e-05,0.002978017080749824,-0.0005220748484134464,0.4414978474378586,0.5180864870548249,0.5221337139606476,0.5271839886903763
2800,0.235086327791214,-0.04787209704518317,-0.06710218298248946,-0.8697267848998308,-0.5392507985234261,-0.07651352894026783,0.02596060326322913,-0.09546019267290831,-0.9918972586281598,0.24726772904396058,0.00023038320650812204,0.0004028856550576393,0.0026066903243190526,0.0024623596473247536,-0.00013139062793926065,-0.001266196437063594,6.983727944314998e-05,0.0029455410083755727,-0.0005192592740058692,0.43823528587818145,0.519480648636818,0.5237731665372849,0.528067621588707
2900,0.23414868116378784,-0.05035726428031921,-0.07137478040531278,-0.8956346612423658,-0.563649269938469,-0.07516701300628484,0.038556416518986204,-0.09632152859121561,-1.021152363345027,0.25241692587733267,0.00026660385192371047,0.000451276777312151,0.0025740290031535376,0.0024167104056687034,-0.0001378644839860708,-0.001251813622366138,0.00010266909594062006,0.002904647501782151,-0.0005096115171909253,0.43502522110939024,0.5208634674549103,0.5254255503416061,0.5288476407527923
3000,0.23321045190095901,-0.05321472436189652,-0.07613487467169763,-0.9211813505738974,-0.5875587448477745,-0.07375534819439053,0.050973810488358126,-0.09752849396318197,-1.0499656320549549,0.25743783824145794,0.0003048502403544236,0.0005003488360671442,0.0025346971626276802,0.0023647014808375125,-0.00014440260711127105,-0.0012310273246839373,0.0001389180513797,0.002857616573965044,-0.0004937753081321629,0.43188699781894685,0.5222230911254883,0.5270815879106522,0.5295075833797455
3100,0.23227114677429195,-0.056465209275484096,-0.08138827886432409,-0.9463054502382875,-0.6109197989106179,-0.07227856069803237,0.06316189486533404,-0.09911494143307209,-1.0782867718487978,0.26227253191173083,0.0003452117583947356,0.0005499141843756598,0.002489733211405095,0.0023072807700373044,-0.0001508548186393617,-0.0012063941423548041,0.0001785360625944905,0.002806624427103069,-0.00047254972159861393,0.4288354218006134,0.523549833893776,0.528734776377678,0.530033415555954
